번호,국가_정리,발명명칭,분류,출원인,출원인그룹,출원일자,출원연도,출원월,등록일자,등록연도,출원등록일수차,등록기간범주,청구항개수,청구항범주,IPC,IPC대분류,IPC코드수,CPC,CPC코드수,기술영역,요약,요약길이,복잡도점수,국제공개번호,출원번호
31,EP,MICRO-LED WITH IMPROVED LIGHT EXTRACTION EFFICIENCY,A1,"Meta Platforms Technologies, LLC",Meta Platforms,2025-10-01,2025,10,,,,미등록(A1 등),0,추출불가,H10H20/819|H10H20/855|H10H20/831|H10H20/84|H10H20/841|H10H29/24,"['H10H', 'H10H', 'H10H', 'H10H', 'H10H', 'H10H']",6,H10H20/819|H10H20/855|H10H20/84|H10H20/831|H10H29/30|H10H20/856,6,['전자부품(Electronics)'],A micro-LED includes a mesa structure and a tapered dielectric waveguide. The mesa structure includes a quantum well region disposed between an n-doped semiconductor layer and a p-doped semiconductor region. The n-doped semiconductor layer forms a tapered semiconductor pre-waveguide. The tapered dielectric waveguide has a lower refractive index than a higher refractive index of the tapered semiconductor pre-waveguide.,421,5.1,,25206055.3
32,EP,OPTICAL ASSEMBLY WITH MICRO LIGHT EMITTING DIODE (LED) AS EYE-TRACKING NEAR INFRARED (NIR) ILLUMINATION SOURCE,B1,"Meta Platforms Technologies, LLC",Meta Platforms,2023-07-06,2023,7,2026-06-10,2026,1070,2~3년,0,추출불가,G02B27/00|G02B27/01|H05K1/02|H05K1/18|F21V8/00|H05K1/03|H05K3/32,"['G02B', 'G02B', 'H05K', 'H05K', 'F21V', 'H05K', 'H05K']",7,G02B27/0172|G02B2027/0178|H05K1/0274|G02B27/0093|G02B6/0011|H05K2201/10106|H05K1/189|H05K3/323|H05K1/0313|H05K2201/0145|H05K2201/0154|G02B1/115|G02B27/0101|G02B2027/0138|G02C7/06|H10H29/142,16,"['전자부품(Electronics)', '광학부품(Optics)']",An eye-tracking system may include an optical assembly with integrated micro light emitting diodes. The optical assembly may include a substrate and a flexible printed circuit board assembly bonded to the substrate. Micro light emitting diodes may also be bonded to the substrate. A plurality of conductors may be laminated in the substrate. The conductors may electrically connect the micro light emitting diodes to the printed circuit board assembly. An optically clear adhesive layer may be adhered to the substrate. The optically clear adhesive layer may include an anti-reflective layer and an optical adhesive layer arranged in a stacked configuration.,658,9.2,,23183796.4
33,EP,FOVEATED DISPLAY SYSTEM,B1,"META PLATFORMS TECHNOLOGIES, LLC",Meta Platforms,2021-01-05,2021,1,2026-03-11,2026,1891,5년 초과,0,추출불가,G02B27/01,['G02B'],1,G02B27/0172|G02B2027/0187|G02B27/0093|G02B27/0179|G06F3/013|G02B2027/0123|G02B2027/0138|G02B2027/0147|G02B2027/014,9,['광학부품(Optics)'],"Various embodiments set forth a foveated display system and components thereof. The foveated display system includes a peripheral display module disposed in series with a foveal display module. The peripheral display module is configured to generate low-resolution, large field of view imagery for a user's peripheral vision. The foveal display module is configured to perform foveated rendering in which high-resolution imagery is focused towards a foveal region of the user's eye gaze. The peripheral display module may include a diffuser that is disposed within a pancake lens, which is a relatively compact design. The foveal display module may include a Pancharatnam-Berry Phase grating stack that increases the steering range of a beam-steering device such that a virtual image can be steered to cover an entire field of view visible to the user's eye.",858,3.7,WO2021141884,21702140.1
34,WO,"COMPACT IMAGING OPTICS USING SPATIALLY LOCATED, FREE FORM OPTICAL COMPONENTS FOR DISTORTION COMPENSATION AND IMAGE CLARITY ENHANCEMENT",A1,"META PLATFORMS TECHNOLOGIES, LLC",Meta Platforms,2022-09-14,2022,9,,,,미등록(A1 등),15,6~15항,G02B27/28|G02B27/01|G02B27/00,"['G02B', 'G02B', 'G02B']",3,G02B27/0093|G02B27/0172|G02B2027/0174|G02B27/283|G02B3/04|G02B2027/0178,6,['광학부품(Optics)'],"An optical assembly to enable distortion compensation and enhanced image clarity is provided. The optical assembly may include an optical stack, such as pancake optics. The optical assembly may also include at least two optical elements. The optical assembly may further include at least one spatially located, free form optical component between the at least two optical elements, wherein the spatially located, free form optical component provides distortion compensation and enhanced image clarity. In some examples, the spatially located, free form optical component may have a plurality of regions having different diffraction designs. In some examples, the spatially located, free form optical component may also utilize a curvature (i.e., may have a curved surface) to implement a phase change profile that may provide distortion compensation.",850,6.1,WO2023043805,PCT/US2022/043478
35,US,DIGRESSIVE LENS FOR VIRTUAL IMAGE,A1,"Meta Platforms Technologies, LLC",Meta Platforms,2024-10-17,2024,10,,,,미등록(A1 등),1,1~5항,G02B27/01|G02C7/06,"['G02B', 'G02C']",2,G02B2027/0178|G02B27/0172|G02B2027/011|G02C7/066,4,"['광학부품(Optics)', '착용형광학(Wearable)']",Implementations of the disclosure include a head-mounted display (HMD) including a display and a digressive lens. The display is configured to generate display light that includes virtual images. The digressive lens is configured to provide spatially varying optical power to focus the virtual images to an eyebox region. A lower region of the digressive lens has a less positive optical power than an upper region of the digressive lens.,438,2.6,,18918524
36,US,Polymer aerogel optical waveguide,B2,GOOGLE LLC,Google,2023-09-14,2023,9,2026-07-07,2026,1027,2~3년,1,1~5항,G02B27/01|G02B1/04,"['G02B', 'G02B']",2,G02B27/0172|G02B1/048|G02B2027/0178,3,['광학부품(Optics)'],"A head-up display, such as found in smart glasses, may include a light source configured to project light for display. A heads-up display may include a polymer aerogel optical waveguide configured to receive the light from the light source, guide the received light to an area in front of an eye of a user, and project the light to the eye of the user. The polymer aerogel optical waveguide can include a core portion made from a glass having a relatively high index of refraction and a cladding portion made from a polymer aerogel having a relatively low index of refraction so that light is guided in the core portion by total internal reflection at an interface between the core portion and the cladding portion.",715,2.2,,18466958
37,US,"Augmented-reality glasses temple arm components, arrangements, and assemblies, and systems and methods of use thereof",B2,"Meta Platforms Technologies, LLC",Meta Platforms,2024-10-17,2024,10,2026-07-07,2026,628,1~2년,1,1~5항,G02B27/01|G06T19/00,"['G02B', 'G06T']",2,G02B27/0176|G06T19/006|G02B2027/0178,3,"['광학부품(Optics)', '영상처리(Image)']","Temple arms of augmented-reality glasses are disclosed. An example temple arm includes a curved temple arm housing configured to couple to a frame of a pair of augmented-reality glasses. The curved temple arm housing has a head shaped curvature to contour a portion of the user's head. The curved temple arm housing includes a set of electronic components coupled within the head shaped curvature of the curved temple arm housing and an input device configure to control one or more electronic components positioned within the frame of the pair of AR glasses. The set of electronics including a speaker, a front battery cell and a rear battery cell. The speaker is positioned adjacent to a user's ear and between the front battery cell and the rear battery cell.",762,2.2,,18919317
38,US,"ADJUSTING VOLUME AT A PAIR OF SMART GLASSES AND CONTROLLING A USER INTERFACE OF AN APPLICATION USING MULTI-STAGE IN-AIR HAND GESTURES DETECTED VIA A WRIST-WEARABLE DEVICE, AND SYSTEMS AND METHODS OF USE THEREOF",A1,"Meta Platforms Technologies, LLC",Meta Platforms,2026-03-06,2026,3,,,,미등록(A1 등),1,1~5항,G06F3/01|G06F3/0482|G06F3/0485|G06F3/0487,"['G06F', 'G06F', 'G06F', 'G06F']",4,G06F3/017|G06F3/015|G06F3/0482|G06F3/0485|G06F3/0487,5,['컴퓨팅/인터페이스(Computing)'],"A method for using a multi-stage in-air hand gesture to adjust volume at a pair of smart glasses and control a user interface of an application. The method includes causing display, at a pair of smart glasses, of a user interface for an application. The method further includes receiving data from a multi-stage in-air hand gesture from sensors of a wrist-wearable device and determining that the user is performing a pinch gesture for a threshold amount of time and a wrist-rotation gesture in a first rotational direction while the pinch gesture is maintained, and based on this determination, increasing a volume for speaker output at the pair of smart glasses. The method further includes determining the user is performing another pinch gesture for less than the threshold amount of time, and in response causing performance of an operation at the user interface for the application while maintaining the increased volume.",927,3.9,,19559871
39,US,Techniques for securing and aligning a projector assembly and a waveguide assembly by coupling support legs of the waveguide assembly to corresponding receptacles of the waveguide assembly,B2,"Meta Platforms Technologies, LLC",Meta Platforms,2023-02-27,2023,2,2026-05-12,2026,1170,3~5년,1,1~5항,G02B27/00|F21V8/00|G02B27/01,"['G02B', 'F21V', 'G02B']",3,G02B2027/0178|G02B27/0172|G02B27/0176|G02B6/0088,4,['광학부품(Optics)'],"Optical assemblies may include a projector assembly and a waveguide assembly. The projector assembly may include at least one light subprojector and a housing including at least one receptacle. The waveguide assembly may include a waveguide and a waveguide holder. The housing may include at least one receptacle and the waveguide holder may include at least one support leg. The support leg may be positioned within, and secured to, the receptacle to align the projector assembly with the waveguide assembly. Related head-mounted displays, systems, and methods are also disclosed.",581,3.1,,18174814
40,US,SUMMARY GENERATION FOR LIVE SUMMARIES WITH USER AND DEVICE CUSTOMIZATION,A1,GOOGLE LLC,Google,2023-05-10,2023,5,,,,미등록(A1 등),1,1~5항,G06F40/20|G06F3/0485|G10L15/18|G10L15/22|G10L15/26,"['G06F', 'G06F', 'G10L', 'G10L', 'G10L']",5,G06F16/345|G06F40/30|G06F40/56|G06F40/216|G10L15/26|G06F40/284|G06F3/011|G09B21/009|G02B2027/014|G09B19/06|G06F40/166|G06F40/20|G06F40/58|G06F40/35|G06F40/47|G06F40/40|G06F3/0485|G10L15/1815|G10L15/22,19,['컴퓨팅/인터페이스(Computing)'],"Described techniques may be utilized to receive a transcription stream including transcribed text that has been transcribed from speech, and to receive a summary request for a summary to be provided on a display of a device. Extracted text may be identified from the transcribed text and in response to the summary request. The extracted text may be processed using a summarization machine learning (ML) model to obtain a summary of the extracted text, and the summary may be displayed on the display of the device. When an image is captured, an augmented summary may be generated that includes the image together with a visual indication of one or more of an emotion, an entity, or an intent associated with the image, the summary, or the extracted text.",755,9.5,,18862089
41,US,MULTI-ANGLE SLIT FOR COMMON ELECTRODE LAYER OF LIQUID CRYSTAL DISPLAY,A1,"Meta Platforms Technologies, LLC",Meta Platforms,2024-04-09,2024,4,,,,미등록(A1 등),1,1~5항,G02F1/1343|G06F1/16,"['G02F', 'G06F']",2,G02F1/134372|G02F1/133707|G02F2201/122|G02F1/134318|G02F1/13439|G06F1/163,6,"['디스플레이(Display)', '컴퓨팅/인터페이스(Computing)']","A liquid crystal pixel includes liquid crystals, a source electrode, and a transparent common electrode layer. The liquid crystals are configured to change an alignment of the liquid crystals in response to a voltage applied across the source electrode and the transparent common electrode layer. The slit in the transparent common electrode layer includes multiple angled sections.",382,3.3,,18630816
42,US,MINI-LIGHT EMITTING DIODE (LED) LIGHT SOURCE AND LIQUID CRYSTAL ON SILICON (LCOS) DISPLAY,A1,"Meta Platforms Technologies, LLC",Meta Platforms,2024-10-23,2024,10,,,,미등록(A1 등),1,1~5항,H04N9/31|G02F1/1335,"['H04N', 'G02F']",2,H04N9/3164|H04N9/3155|H04N9/3152|H04N9/3167|H04N9/317|G02F1/133616|H04N9/3173|H04N9/3108,8,"['영상/음향전송(AV)', '디스플레이(Display)']","A light source for a display includes a driver substrate, an array of mini-LEDs, and a metalens. The driver substrate is configured to selectively illuminate mini-LEDs in the array to generate illumination light. The metalens is configured to focus the illumination light as focused illumination light. The light source may provide illumination light to a Liquid Crystal on Silicon (LCOS) display.",397,4,,18924170
